"original_path","archive_path","relative_path","scope","reason","files","bytes","gib","status"
"C:\SH\fga_cyclic_peptide_design\results\rfpeptides_article_route_clean_20260612\01_rfpeptides_jobs","C:\SH\fga_cyclic_peptide_design\results\_archived_invalid_site2_hotspot_mapping_20260716\affected_results\rfpeptides_article_route_clean_20260612\01_rfpeptides_jobs","rfpeptides_article_route_clean_20260612\01_rfpeptides_jobs","partial_root","pre_fix_site2_hotspot_mapping_or_inherited_downstream_output","3","4168","4E-06","moved_verified"
"C:\SH\fga_cyclic_peptide_design\results\rfpeptides_article_route_clean_20260615_fpocket\01_rfpeptides_jobs","C:\SH\fga_cyclic_peptide_design\results\_archived_invalid_site2_hotspot_mapping_20260716\affected_results\rfpeptides_article_route_clean_20260615_fpocket\01_rfpeptides_jobs","rfpeptides_article_route_clean_20260615_fpocket\01_rfpeptides_jobs","partial_root","pre_fix_site2_hotspot_mapping_or_inherited_downstream_output","3","4325","4E-06","moved_verified"
"C:\SH\fga_cyclic_peptide_design\results\rfpeptides_article_route_clean_20260615_fpocket\02_rfpeptides_backbones","C:\SH\fga_cyclic_peptide_design\results\_archived_invalid_site2_hotspot_mapping_20260716\affected_results\rfpeptides_article_route_clean_20260615_fpocket\02_rfpeptides_backbones","rfpeptides_article_route_clean_20260615_fpocket\02_rfpeptides_backbones","partial_root","pre_fix_site2_hotspot_mapping_or_inherited_downstream_output","40","52019424","0.048447","moved_verified"
"C:\SH\fga_cyclic_peptide_design\results\rfpeptides_article_route_clean_20260615_fpocket\logs","C:\SH\fga_cyclic_peptide_design\results\_archived_invalid_site2_hotspot_mapping_20260716\affected_results\rfpeptides_article_route_clean_20260615_fpocket\logs","rfpeptides_article_route_clean_20260615_fpocket\logs","partial_root","pre_fix_site2_hotspot_mapping_or_inherited_downstream_output","1","155193","0.000145","moved_verified"
"C:\SH\fga_cyclic_peptide_design\results\rfpeptides_article_route_clean_20260615_fpocket_stage1_N1000_no_traj","C:\SH\fga_cyclic_peptide_design\results\_archived_invalid_site2_hotspot_mapping_20260716\affected_results\rfpeptides_article_route_clean_20260615_fpocket_stage1_N1000_no_traj","rfpeptides_article_route_clean_20260615_fpocket_stage1_N1000_no_traj","whole_root","pre_fix_site2_hotspot_mapping_or_inherited_downstream_output","2097","79983277","0.07449","moved_verified"
"C:\SH\fga_cyclic_peptide_design\results\rfpeptides_article_route_clean_20260623_stage1_N10000_L12_24_batch01","C:\SH\fga_cyclic_peptide_design\results\_archived_invalid_site2_hotspot_mapping_20260716\affected_results\rfpeptides_article_route_clean_20260623_stage1_N10000_L12_24_batch01","rfpeptides_article_route_clean_20260623_stage1_N10000_L12_24_batch01","whole_root","pre_fix_site2_hotspot_mapping_or_inherited_downstream_output","20311","788998641","0.734812","moved_verified"
"C:\SH\fga_cyclic_peptide_design\results\rfpeptides_article_route_clean_20260623_stage1_N10000_L12_24_batch02","C:\SH\fga_cyclic_peptide_design\results\_archived_invalid_site2_hotspot_mapping_20260716\affected_results\rfpeptides_article_route_clean_20260623_stage1_N10000_L12_24_batch02","rfpeptides_article_route_clean_20260623_stage1_N10000_L12_24_batch02","whole_root","pre_fix_site2_hotspot_mapping_or_inherited_downstream_output","20090","770663758","0.717737","moved_verified"
"C:\SH\fga_cyclic_peptide_design\results\rfpeptides_article_route_clean_20260623_stage1_N10000_L12_24_batch03","C:\SH\fga_cyclic_peptide_design\results\_archived_invalid_site2_hotspot_mapping_20260716\affected_results\rfpeptides_article_route_clean_20260623_stage1_N10000_L12_24_batch03","rfpeptides_article_route_clean_20260623_stage1_N10000_L12_24_batch03","whole_root","pre_fix_site2_hotspot_mapping_or_inherited_downstream_output","15728","595358420","0.554471","moved_verified"
"C:\SH\fga_cyclic_peptide_design\results\rfpeptides_article_route_clean_20260623_stage1_N10000_L12_24_batch04","C:\SH\fga_cyclic_peptide_design\results\_archived_invalid_site2_hotspot_mapping_20260716\affected_results\rfpeptides_article_route_clean_20260623_stage1_N10000_L12_24_batch04","rfpeptides_article_route_clean_20260623_stage1_N10000_L12_24_batch04","whole_root","pre_fix_site2_hotspot_mapping_or_inherited_downstream_output","20004","741471507","0.690549","moved_verified"
"C:\SH\fga_cyclic_peptide_design\results\rfpeptides_article_route_clean_20260623_stage1_N10000_L12_24_batch05","C:\SH\fga_cyclic_peptide_design\results\_archived_invalid_site2_hotspot_mapping_20260716\affected_results\rfpeptides_article_route_clean_20260623_stage1_N10000_L12_24_batch05","rfpeptides_article_route_clean_20260623_stage1_N10000_L12_24_batch05","whole_root","pre_fix_site2_hotspot_mapping_or_inherited_downstream_output","20004","755690742","0.703792","moved_verified"
"C:\SH\fga_cyclic_peptide_design\results\rfpeptides_article_route_clean_20260623_stage5_batch01_batch02","C:\SH\fga_cyclic_peptide_design\results\_archived_invalid_site2_hotspot_mapping_20260716\affected_results\rfpeptides_article_route_clean_20260623_stage5_batch01_batch02","rfpeptides_article_route_clean_20260623_stage5_batch01_batch02","whole_root","pre_fix_site2_hotspot_mapping_or_inherited_downstream_output","398","13191425","0.012285","moved_verified"
"C:\SH\fga_cyclic_peptide_design\results\rfpeptides_article_route_clean_20260623_stage5A_v2_batch01_batch02","C:\SH\fga_cyclic_peptide_design\results\_archived_invalid_site2_hotspot_mapping_20260716\affected_results\rfpeptides_article_route_clean_20260623_stage5A_v2_batch01_batch02","rfpeptides_article_route_clean_20260623_stage5A_v2_batch01_batch02","whole_root","pre_fix_site2_hotspot_mapping_or_inherited_downstream_output","73","992548","0.000924","moved_verified"
"C:\SH\fga_cyclic_peptide_design\results\rfpeptides_article_route_clean_20260623_stage5B_batch01_batch02","C:\SH\fga_cyclic_peptide_design\results\_archived_invalid_site2_hotspot_mapping_20260716\affected_results\rfpeptides_article_route_clean_20260623_stage5B_batch01_batch02","rfpeptides_article_route_clean_20260623_stage5B_batch01_batch02","whole_root","pre_fix_site2_hotspot_mapping_or_inherited_downstream_output","395","13542234","0.012612","moved_verified"
